target_bin,abs_error_mean,abs_error_median,abs_error_max,count,Model
"(0.149, 1.12]",0.2785256569145494,0.20323458796057486,2.92744255420667,620,GradientBoostingRegressor_baseline
"(1.12, 1.579]",0.2885427633292771,0.21749782339330426,2.00929262994423,619,GradientBoostingRegressor_baseline
"(1.579, 2.125]",0.2897315494176681,0.21244275007943547,1.6571401350689865,622,GradientBoostingRegressor_baseline
"(2.125, 2.906]",0.35627596464501465,0.2872065892007447,1.5948529719160045,616,GradientBoostingRegressor_baseline
"(2.906, 5.0]",0.6628424357920971,0.49300452757895163,3.8479114803022583,619,GradientBoostingRegressor_baseline
"(0.149, 1.12]",0.22589665630497296,0.14922832872507136,2.9722099360246994,620,GradientBoostingRegressor_tuned
"(1.12, 1.579]",0.24049090488852373,0.17944583484721677,1.9273152802907831,619,GradientBoostingRegressor_tuned
"(1.579, 2.125]",0.25474232233593735,0.18852492227767892,1.9207658197254092,622,GradientBoostingRegressor_tuned
"(2.125, 2.906]",0.3249097910721876,0.25951040052405916,1.6859602216373695,616,GradientBoostingRegressor_tuned
"(2.906, 5.0]",0.5736911664348124,0.42268470881425024,4.008115694394752,619,GradientBoostingRegressor_tuned
